Bundle	ArticleId	Paper	Venue	Author
Bundle 6	3071	Inferring Method Effect Summaries for Nested Heap Regions.	ASE	Danny Dig, Ralph E. Johnson, Jeffrey Overbey, Robert L. Bocchino Jr., Vikram S. Adve, Mohsen Vakilian	
Bundle 6	5472	Javert: fully automatic mining of general temporal properties from dynamic traces.	SIGSOFT FSE	Zhendong Su, Mark Gabel	
Bundle 6	8802	Flexible Software Development for Multiple Computer Systems.	IEEE Trans. Software Eng.	Karsten Schwan, Anita K. Jones	
Bundle 6	9466	Architecture-Oriented Programming Using FRED.	ICSE	Kai Koskimies, Juha Hautamäki, Jukka Paakki, Antti Viljamaa, Jukka Viljamaa, Markku Hakala	
Bundle 7	1786	Xstream: A Middleware for Streaming XML Contents over Wireless Environments.	IEEE Trans. Software Eng.	Alvin T. S. Chan, Hong Va Leong, Eugene Y. C. Wong	
Bundle 7	2856	Formal Specification and Designof a Message Router.	ACM Trans. Softw. Eng. Methodol.	Gruia-Catalin Roman, Christian Creveuil	
Bundle 7	3366	Composition of Qualitative Adaptation Policies.	ASE	Jean-Marc Jézéquel, Olivier Barais, Franck Chauvel, Isabelle Borne	
Bundle 7	4118	Predicting faults using the complexity of code changes.	ICSE	Ahmed E. Hassan	
Bundle 7	5491	Efficient online monitoring of web-service SLAs.	SIGSOFT FSE	James Skene, Franco Raimondi, Wolfgang Emmerich	
Bundle 8	454	An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules.	IEEE Trans. Software Eng.	Khaled El Emam, Akif Günes Koru, Dongsong Zhang, Hongfang Liu	
Bundle 8	2589	Verifying security protocols with Brutus.	ACM Trans. Softw. Eng. Methodol.	Edmund M. Clarke, Somesh Jha, Wilfredo R. Marrero	
Bundle 8	2899	On CASE Tool Usage at Nokia.	ASE	Alessandro Maccari, Claudio Riva, Francesco Maccari	
Bundle 8	4019	Process issues in course projects.	ICSE	Wilson P. Paula Filho	
Bundle 8	5485	Relevancy based semantic interoperation of reuse repositories.	SIGSOFT FSE	Lu Zhang 0023, Fuqing Yang, Ying Pan, Lei Wang, Bing Xie	
Bundle 9	397	Timed Automata Patterns.	IEEE Trans. Software Eng.	Wang Yi, Jun Sun 0001, Shengchao Qin, Jin Song Dong, Ping Hao	
Bundle 9	2822	Composing expressive runtime security policies.	ACM Trans. Softw. Eng. Methodol.	David Walker, Lujo Bauer, Jay Ligatti	
Bundle 9	3513	A strategy for efficient verification of relational specifications, based on monotonicity analysis.	ASE	Marcelo F. Frias, Rodolfo Gamarra, Gabriela Steren, Lorena Bourg	
Bundle 9	4363	Object-oriented inspection in the face of delocalisation.	ICSE	Marc Roper, Murray Wood, Alastair Dunsmore	
Bundle 9	5234	Test Case Generation by Means of Learning Techniques.	SIGSOFT FSE	Francesco Bergadano	
Bundle 10	948	A Retrospective on the VAX VMM Security Kernel.	IEEE Trans. Software Eng.	Mary Ellen Zurko, Andrew H. Mason, Paul A. Karger, Clifford E. Kahn, Douglas W. Bonin	
Bundle 10	2825	An empirical study of industrial requirements engineering process assessment and improvement.	ACM Trans. Softw. Eng. Methodol.	Ian Sommerville, Jane Ransom	
Bundle 10	2899	On CASE Tool Usage at Nokia.	ASE	Alessandro Maccari, Claudio Riva, Francesco Maccari	
Bundle 10	5498	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 10	5552	Empowering Software Engineers in Human-Centered Design.	ICSE	Alina Andreevskaia, Ahmed Seffah	
Objetive function	24.381
