Bundle	Paper	Venue	Author
Bundle 6	Amoeba: A methodology for modeling and evolving cross-organizational business processes.	ACM Trans. Softw. Eng. Methodol.	Nirmit Desai, Amit K. Chopra, Munindar P. Singh	
Bundle 6	An evaluation scheme of adaptive configuration techniques.	ASE	Salim Hariri, Huoping Chen	
Bundle 6	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 6	Generative Techniques for Product Lines.	ICSE	Don S. Batory, Gregory Butler, Krzysztof Czarnecki, Ulrich W. Eisenecker	
Bundle 7	An Accurate Worst Case Timing Analysis for RISC Processors.	IEEE Trans. Software Eng.	Sang Lyul Min, Chang Yun Park, Chong-Sang Kim, Soo-Mook Moon, Gyu Tae Jang, Young Hyun Bae, Heonshik Shin, Sung-Soo Lim, Byung-Do Rhee, Kunsoo Park	
Bundle 7	Reifying Variants in Configuration Management.	ACM Trans. Softw. Eng. Methodol.	Jean-Marc Jézéquel	
Bundle 7	Automated Verification Tool for DHTML.	ASE	Takaaki Tateishi, Kouichi Ono, Hisashi Miyashita, Shin Saito	
Bundle 7	Fluent-based web animation: exploring goals for requirements validation.	ICSE	Jeff Kramer, Sebastián Uchitel, Jeff Magee, Robert Chatley	
Bundle 7	Mechanisms for Generic Process Support.	SIGSOFT FSE	Robert Balzer, K. Narayanaswamy	
Bundle 8	An Optimal Algorithm for Scheduling Soft Aperiodic Tasks in Dynamic-Priority Preemptive Systems.	IEEE Trans. Software Eng.	Ismael Ripoll, Alfons Crespo, Ana García-Fornes	
Bundle 8	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 8	3 Language.	ACM Trans. Softw. Eng. Methodol.	Gian Pietro Picco, Maria Letizia Jaccheri, Patricia Lago	
Bundle 8	3rd international workshop on traceability in emerging forms of software engineering (TEFSE 2005).	ASE	Jane Huffman Hayes, Giuliano Antoniol, Jane Cleland-Huang, Jonathan I. Maletic	
Bundle 8	Integrating Architecture Description Languages with a Standard Design Method.	ICSE	David F. Redmiles, Nenad Medvidovic, Jason E. Robbins	
Bundle 9	Very High Level Concurrent Programming.	IEEE Trans. Software Eng.	Noah S. Prywes, Boleslaw K. Szymanski, Yuan Shi, Amir Pnueli	
Bundle 9	Conjunction as Composition.	ACM Trans. Softw. Eng. Methodol.	Pamela Zave, Michael Jackson	
Bundle 9	Validating Automotive Control Software Using Instrumentation-Based Verification.	ASE	Rance Cleaveland, Arnab Ray, Chris Martin, Charles P. Shelton, Iris Morschhaeuser, Christopher Ackermann	
Bundle 9	Progress Toward Automated Software Testing.	ICSE	Richard A. DeMillo	
Bundle 9	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 10	Information Flow Certification Using an Intermediate Code Program Representation.	IEEE Trans. Software Eng.	Glenn H. MacEwen, Allan L. Mennie	
Bundle 10	An evaluation scheme of adaptive configuration techniques.	ASE	Salim Hariri, Huoping Chen	
Bundle 10	Automated identification of parameter mismatches in web applications.	SIGSOFT FSE	Alessandro Orso, William G. J. Halfond	
Bundle 10	3 Language.	ACM Trans. Softw. Eng. Methodol.	Gian Pietro Picco, Maria Letizia Jaccheri, Patricia Lago	
Bundle 10	A System for Program Refinement.	ICSE	Thomas E. Cheatham Jr., Judy A. Townley, Glenn H. Holloway	
Objetive function 	26.68
