Bundle	Paper	Venue	Author
Bundle 8	DiffGen: Automated Regression Unit-Test Generation.	ASE	Tao Xie, Kunal Taneja	
Bundle 8	Accurate Interprocedural Null-Dereference Analysis for Java.	ICSE	Saurabh Sinha, Mangala Gowri Nanda	
Bundle 8	Javert: fully automatic mining of general temporal properties from dynamic traces.	SIGSOFT FSE	Zhendong Su, Mark Gabel	
Bundle 9	Interface Compilation: Steps Toward Compiling Program Interfaces as Languages.	IEEE Trans. Software Eng.	Dawson R. Engler	
Bundle 9	HOTTest: A model-based test design technique for enhanced testing of domain-specific applications.	ACM Trans. Softw. Eng. Methodol.	Carol Smidts, Avik Sinha	
Bundle 9	Enforcing Business Policies Through Automated Reconfiguration.	ASE	José Luiz Fiadeiro, Michel Wermelinger, Luis Filipe Andrade	
Bundle 9	Software test program: a software residency experience.	ICSE	Luis Figueiredo, Carlos Albuquerque, Luckerson Cruz, João Vasconcelos, Augusto Sampaio, Sérgio Cavalcante	
Bundle 9	PENELOPE: weaving threads to expose atomicity violations.	SIGSOFT FSE	Francesco Sorrentino 0002, Azadeh Farzan, P. Madhusudan	
Bundle 10	Problem Oriented Software Engineering: Solving the Package Router Control Problem.	IEEE Trans. Software Eng.	Jon G. Hall, Lucia Rapanotti, Michael Jackson	
Bundle 10	Tools and experiments supporting a testing-based theory of component composition.	ACM Trans. Softw. Eng. Methodol.	Dick Hamlet	
Bundle 10	Ensuring consistency in long running transactions.	ASE	Rupak Majumdar, Jeffrey Fischer	
Bundle 10	Local analysis of atomicity sphere for B2B collaboration.	SIGSOFT FSE	Chang Xu, Chunyang Ye, W. K. Chan, S. C. Cheung	
Bundle 10	Prediction and Management of Program Quality.	ICSE	Stephen N. Zilles, Horst Remus	
Objetive function 	40.1762
