Bundle	Paper	Venue	Author
Bundle 6	Alattin: Mining Alternative Patterns for Detecting Neglected Conditions.	ASE	Tao Xie, Suresh Thummalapenta	
Bundle 6	Component design of retargetable program analysis tools that reuse intermediate representations.	ICSE	William G. Griswold, James Hayes, Stuart Moskovics	
Bundle 6	Searching for points-to analysis.	SIGSOFT FSE	Glenn Bruns, Satish Chandra	
Bundle 7	Formal Modeling of Virtual Machines.	IEEE Trans. Software Eng.	Armin B. Cremers, Thomas N. Hibbard	
Bundle 7	Measuring the strength of information flows in programs.	ACM Trans. Softw. Eng. Methodol.	Wes Masri, Andy Podgurski	
Bundle 7	A parameterized interpreter for modeling different AOP mechanisms.	ASE	Naoyasu Ubayashi, Tetsuo Tamai, Genki Moriyama, Hidehiko Masuhara	
Bundle 7	Temporal dependency based checkpoint selection for dynamic verification of fixed-time constraints in grid workflow systems.	ICSE	Yun Yang, Jinjun Chen	
Bundle 7	Abstracting Dependencies between Software Configuration Items.	SIGSOFT FSE	Carl A. Gunter	
Bundle 8	Caching Hints in Distributed Systems.	IEEE Trans. Software Eng.	Douglas B. Terry	
Bundle 8	Using a pilot study to derive a GUI model for automated testing.	ACM Trans. Softw. Eng. Methodol.	Atif M. Memon, Qing Xie	
Bundle 8	Random Test Run Length and Effectiveness.	ASE	James H. Andrews, Alex Groce, Ru-Gang Xu, Melissa Weston	
Bundle 8	The challenges of software engineering education.	ICSE	Dino Mandrioli, Carlo Ghezzi	
Bundle 8	An empirical study of the effect of time constraints on the cost-benefits of regression testing.	SIGSOFT FSE	Gregg Rothermel, Hyunsook Do, Siavash Mirarab, Ladan Tahvildari	
Bundle 9	Incremental Maintenance of Software Artifacts.	IEEE Trans. Software Eng.	Steven P. Reiss	
Bundle 9	Feature-Oriented Programming and the AHEAD Tool Suite.	ICSE	Don S. Batory	
Bundle 9	Refining code-design mapping with flow analysis.	SIGSOFT FSE	Michal Young, Xiaofang Zhang, John Howard Eli Fiskio-Lasseter	
Bundle 9	A Comparison of Questionnaire-Based and GUI-Based Requirements Gathering.	ASE	J. Michael Moore, Frank M. Shipman III	
Bundle 9	3 Language.	ACM Trans. Softw. Eng. Methodol.	Gian Pietro Picco, Maria Letizia Jaccheri, Patricia Lago	
Bundle 10	Measuring Process Consistency: Implications for Reducing Software Defects.	IEEE Trans. Software Eng.	Mayuram S. Krishnan, Marc I. Kellner	
Bundle 10	The Larch/Smalltalk Interface Specification Language.	ACM Trans. Softw. Eng. Methodol.	Yoonsik Cheon, Gary T. Leavens	
Bundle 10	Modeling ontologies as executable domain specific languages.	ICSE	Dragan Djuric, Jelena Jovanovic, Ramo Sendelj, Vladan Devedzic	
Bundle 10	Blowtorch: a framework for firewall test automation.	ASE	Daniel Hoffman, Kevin Yoo	
Bundle 10	A scalable technique for characterizing the usage of temporaries in framework-intensive Java applications.	SIGSOFT FSE	Barbara G. Ryder, Bruno Dufour, Gary Sevitsky	
Objetive function 	21.9347
